paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;lat;lon;iso-3;century;date_start;date_end;author;bibl;add_inf;add_inf_2;date_mean;;;;;;;;;;;;;;
S;Scala coeli;;;;;;;Latin;;47.067330;-14.096260;;1500;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Burgo de Osma, Biblioteca de la Catedral, 57;https://www.cervantesvirtual.com/obras/materia-autoridad/catedral-de-burgo-de-osma-biblioteca-37085;;1450,5;;;;;;;;;;;;;;
S;Scala Celi;;;;;;;Latin;;47.067331;-14.096261;;1500;1400;1599;Jean Gobi Le Jeune, Johannes Gobius;Dublin, Trinity College Library, Ms 128;https://manuscripts.catalogue.tcd.ie/CalmView/Record.aspx?src=CalmView.Catalog&id=IE+TCD+MS+128&pos=1;;1499,5;;;;;;;;;;;;;;
S;Scala coeli;;;;;;;Latin;;47.067332;-14.096262;;1500;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Sevilla, Biblioteca Capitular y Colombina, 5-6-27;http://opac.icolombina.es/opac/abnetcl.exe/O7008/ID49445bd7/NT3?ACC=165&DOC=7&xsface=on;;1450,5;;;;;;;;;;;;;;
S;Scala coeli;;;;;;;Latin;;47.067333;-14.096263;;1500;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Urgel, Biblioteca capitular, Ms 2080;https://www.vhmml.org/readingRoom/view/58179;;1450,5;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067334;-14.096264;;1500;1375;1425;Jean Gobi Le Jeune, Johannes Gobius;London, British Library, Cotton, Vespasianus A. VI, f. 134;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS041-001103162;;1400;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067335;-14.096265;;1500;1401;1450;Jean Gobi Le Jeune, Johannes Gobius;London, British Library, Cotton, Vespasianus E. I, f. 221v;http://searcharchives.bl.uk/IAMS_VU2:LSCOP_BL:IAMS041-001103387;;1425,5;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067336;-14.096266;;1500;1470;1480;Jean Gobi Le Jeune, Johannes Gobius;Oxford, Merton College Library, 13;https://medieval.bodleian.ox.ac.uk/catalog/manuscript_10112;;1475;;;;;;;;;;;;;;
S;De Spiritu Guidonis;;;;;;;Latin;;47.067337;-14.096267;;1500;1401;1500;Jean Gobi Le Jeune, Johannes Gobius;Paris, Bibliothèque nationale de France, latin, 13602, f. 33;https://archivesetmanuscrits.bnf.fr/ark:/12148/cc74536b;;1450,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067338;-14.096268;;1500;1401;1500;;Bamberg, Staatsbibliothek, Msc. theol. 108;http://bilder.manuscripta-mediaevalia.de/hs//katalogseiten/HSK0600_0712_jpg.htm;;1450,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067339;-14.096269;;1500;1401;1500;;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, Ms. theol. lat. fol. 67;https://digital.staatsbibliothek-berlin.de/werkansicht?PPN=PPN689695519&PHYSID=PHYS_0001&view=overview-info;;1450,5;;;;;;;;;;;;;;
H;Historia septem sapientium;;;;;;;Latin;;47.067340;-14.096270;;1500;1456;;;Hannover, Niedersächsische Landesbibliothek, Ms. IV 616;https://handschriftencensus.de/13257#cInhalt;;1456;;;;;;;;;;;;;;
