paris_siglum;title_1;title_2;title_3;title_4;title_5;title_6;title_7;language;dialect;iso-3;date_start;date_end;author;bibl;add_inf;add_inf_2
Translation of the Dolopathos;Dolopathos;;;;;;;High German;;DEU;1465;;;Leipzig, Universitätsbibliothek, 1279, f. 236r-294r;http://www.manuscripta-mediaevalia.de/#|6;
;Allegatio septem sapientum;;;;;;;High German;;DEU;1462;;;München, Bayerische Staatsbibliothek, clm 22378;https://www.digitale-sammlungen.de/en/view/bsb00008255?q=%28Catalogus+codicum+latinorum+Bibliothecae+Regiae+Monacensis%29&page=52,53;
;Allegatio septem sapientum;;;;;;;High German;;DEU;1453;;;Sankt Florian, Stiftsbibliothek, XI 92 B, f. 196-208;https://handschriftencensus.de/5660;
;Gesta Romanorum cum moralisationibus;;;;;;;High German;;DEU;1401;1450;;Wien, Österreichische Nationalbibliothek, 2937, f. 73-88;https://handschriftencensus.de/6550;
;Die Hystorij von Diocleciano;;;;;;;High German;;DEU;1475;1500;;Wien, Schottenstiftsbibliothek, 33/407, f. 1-39;;
;Von den sieben meistern;;;;;;;High German;;DEU;1452;;;Donaueschingen, Fürstlich Fürstenbergische Hofbibliothek, 90, f. 148-202;https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/1172492;
;Von den sieben meistern;;;;;;;High German;;DEU;1476;;;Erlangen/Nürnberg, Universitätsbibliothek, B 11, f. 22-154;https://handschriftencensus.de/2231;
;Von den sieben meistern;;;;;;;High German;;DEU;1471;;;Frankfurt am Main, Universitätsbibliothek, Germ. Qu. 12, f. 1-125;https://sammlungen.ub.uni-frankfurt.de/msma/content/titleinfo/3654381;
;Von den sieben meistern;;;;;;;High German;;DEU;1479;;;Frankfurt am Main, Universitätsbibliothek, Germ. Qu. 13;https://sammlungen.ub.uni-frankfurt.de/msma/urn/urn:nbn:de:hebis:30:2-14571;
;Von den sieben meistern;;;;;;;High German;;DEU;1454;;;Hamburg, Staats- und Universitätsbibliothek, Cod. germ. 1, f. 109-211;https://handschriftencensus.de/4859;
;Die sieben weisen Meister;;;;;;;High German;;DEU;1470;1475;;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, mgf 1001;https://handschriftencensus.de/12135;
;Die sieben weisen Meister;;;;;;;High German;;DEU;1470;;;Berlin, Staatsbibliothek und Preussischer Kulturbesitz, mgq 763, f. 1-96;https://handschriftencensus.de/4504;
;Die sieben weisen Meister;;;;;;;High German;;DEU;1450;1500;;Giessen, Universitätsbibliothek, 104, f. 12-57;https://mrfh.de/10300;
